title,description,authors,publisher,published_date,categories,ratings_count
The Freddie Prinze Story,,Maria Pruetzel,,1978,Entertainers,0
Hot Property,"This hot property’s lucky streak has run out. Just one short season ago, major league center fielder John Roper had it all: the looks—and personal life—of a sports hero and the public's adoration. But this hot property's lucky streak has run out. After a World Series disaster, fans diss him, shock jocks mock him and his dysfunctional family hassles him for money he really can't spare. Now it's up to him, and Hot Zone publicist Amy Stone, to get his life back on track. Amy finds it's easier said ",Carly Phillips,CP Publishing,2017-03-07,Fiction,0
The Jacket,"When Greg Eagles discovers his old college jacket in a mysterious warehouse, he is sent back in time to his youth with a chance for a new beginning. But the past holds horrors that Greg and his new friend, Wanda Jagr, must fight to save their lives and their futures. When the two friends meet the malignant professor, Stan Beazel, Fundy University becomes a campus of terror.",Charles Elgee,iUniverse,2000-09-01,Fiction,0
Kirith Kirin,"Blue Queen Athryn Ardfalla, having usurped from the Red King, Kirith Kirin, his rightful throne, has allied herself with an evil wizard, Drudaen Keerfax, and oppresses the people. The young shepherd Jessex, the son and grandson of witches, fulfills his destiny by entering the service of Kirith Kirin, who stays in the forest of Arthen. Jessex grows strong in his magical studies and fighting skills, finding both companionship and love in the company of the man he serves and discovering his crucial",Jim Grimsley,Meisha Merlin Pub,2000,Fiction,3.0
"The Spirit of Christmas Cookbook, Vol. 2",,,,1997,Christmas cooking,1.0
The turkey hunting world of Ben Lee,,Ben Lee,,1983,Turkey hunting,0
Praise Worship: Songbook,"For piano, with interlinear English words and chord symbols.","Ken Bible, Marty Parks, John Mathias, George Baldwin",,2001-04-01,Music,0
The Enduring Community: Embracing the Priority of the Church,,"Brian Habig, Les Newsom",,2001,Bible,1.0
Heller with a Gun,"Tom Healy was in trouble. His theatrical troupe needed to get to Alder Gulch, Montana, and the weather was turning. Andy Barker promised Tom he could get them there safely, but Tom was reluctant to trust him: he had the lives of three actresses to consider, and his personal feelings for Janice further heightened his concern. Then King Mabry showed up. Although Tom didn’t like the way he looked at Janice, he could see that Mabry made Barker uneasy. So Tom invited Mabry to join them. Tom was right",Louis L'Amour,Domain,2004-02-03,Fiction,4.0
The Companion to Irish Traditional Music,"Fintan Vallely''s survey of Irish traditional music examines a wide range of topics relating to the histo ry of the genre, the characters, past and present who engage with the music and an analysis of the way the media represe nts it. '",Fintan Vallely,,1999,Music,0
Cottage Style,"Splendid full-color photographs, accompanied by practical suggestions and creative ideas, showcase the rich variety of designs that exemplify the California cottage style of decorating, presenting a host of inspirational ideas for Pioneer, Queen Anne, Spanish Colonial Revival, Craftsman, and Tudor Revival homes. Reprint.","Scot Zimmerman, Ann Zimmerman","Sterling Publishing Company, Inc.",2005,House & Home,0
Sadat,"Anwar Sadat's life was shaped by Egypt's national struggle and the conflict between the Arab world and Israel. This biography charts his progress from fanatical nationalist to President of Egypt, and from world statesman to tragic hero, who gave his life in the cause of peace.","Joseph Finklestone, Joseph Finklestone Obe",Routledge,2013-11-05,History,0
Amazing Grace,"‘Een lied in de storm’ van Jody Hedlund, vertelt het verhaal over de liefde tussen Polly Catlett en John Newton, de schrijver van het bekende lied ‘Amazing Grace’. John Newton is op slag verliefd als hij Polly Catlett voor het eerst ontmoet. Maar Polly beantwoordt zijn liefde niet. Haar vader probeert hem bij haar uit de buurt te houden en dwingt hem bij de marine te gaan, maar ze blijft altijd in Johns gedachten. Vier jaar later vraagt Johns familie hem terug te keren, maar hij heeft zich in de",Jody Hedlund,Kok,2017-08-29,Fiction,0
Carthage,"The struggle between Rome and Carthage in the Punic Wars was arguably the greatest and most desperate conflict of antiquity. The forces involved and the casualties suffered by both sides were far greater than in any wars fought before the modern era, while the eventual outcome had far-reaching consequences for the history of the Western World, namely the ascendancy of Rome. An epic of war and battle, this is also the story of famous generals and leaders: Hannibal, Fabius Maximus, Scipio Africanu",Adrian Goldsworthy,Hachette UK,2012-08-30,History,5.0
Bulletproofing Your Medical Practice : Risk Management Techniques For Physicians That Work,The definitive work on risk reduction for practicing physicians. As a practicing physician you have worked long and hard to build up your medical practice. Why risk it all if you don't have to? This concise and easy to read text contains simple techniques for you to use to reduce/avoid costly potential malpractice and insurance pitfalls.,Kevin M. Quinley,Seak Incorporated,2000,Medical,0
The Black Mountains (Ace book),,"Fred Saberhagen, John Schoenherr",,1971,"Science fiction, American",1.0
Learning Joy from Dogs Without Collars : A Memoir,"The daughter of an eccentric, sporadically employed mother recounts her experiences with temporary housing and shelters, her acceptance into Harvard, and her efforts to make sense of a world vastly different from the one she grew up in.",Lauralee Summer,Simon and Schuster,2004-07,Biography & Autobiography,1.0
Satan's Fire (Hugh Corbett Mysteries 09),"An attempt on the King's life draws Hugh Corbett into a deadly investigation... In Satan's Fire, the ninth Hugh Corbett mystery from Paul Doherty, strange fires and gruesome murders test the sleuth's investigative ingenuity to the full. Perfect for fans of Ellis Peters and Robin Hobb. 1303 and the Old Man of the Mountain remembers back to when he nearly killed Edward I thirty years before. He now decides to release an imprisoned leper knight to avenge old grievances and take the King's life. A f",Paul Doherty,Hachette UK,2012-10-30,Fiction,0
The Barracks Thief,"The Barracks Thief is the story of three young paratroopers waiting to be shipped out to Vietnam. Brought together one sweltering afternoon to stand guard over an ammunition dump threatened by a forest fire, they discover in each other an unexpected capacity for recklessness and violence. Far from being alarmed by this discovery, they are exhilarated by it; they emerge from their common danger full of confidence in their own manhood and in the bond of friendship they have formed. This confidence",Tobias Wolff,Harper Collins,2014-08-19,Fiction,4.0
Open: Inside the Ropes at Bethpage Black,"Tiger Woods has called the U.S. Open ""the most difficult national championship."" With Open, John Feinstein goes behind the scenes to tell for the first time the full story of how the 2002 U.S. Open Championship came into being-how a public course was transformed into one of the most difficult and surprising in the tournament's history, and how the greatest golfers in the world rose to its almost insurmountable challenges. The Black course at the public golf club in Bethpage, New York, has long h",John Feinstein,Hachette UK,2003-05-01,Sports & Recreation,2.0
Aerial: The Art of Photography from the Sky,Presents a collection of aerial photographs showing a variety of sights from around the world.,Jason Hawkes,Rotovision,2003,Photography,0
Portrait of Cats,"Every cat knows how to charm. Their alluring countenance and flawless prowess will put a smile on any feline lover's face. This stunning photographic collection of the cutest and most exquisite cats, complemented with a sprinkling of feline-inspired quotes and poems, is guaranteed to captivate and enchant anybody who has ever known the comforts of living with a cat.",Charlotte Fraser,Skyhorse,2014-11-18,Pets,0
